flight_date,flight_status,aircraft,live,departure_airport,departure_timezone,departure_iata,departure_icao,departure_terminal,departure_gate,departure_delay,departure_scheduled,departure_estimated,departure_actual,departure_estimated_runway,departure_actual_runway,arrival_airport,arrival_timezone,arrival_iata,arrival_icao,arrival_terminal,arrival_gate,arrival_baggage,arrival_scheduled,arrival_delay,arrival_estimated,arrival_actual,arrival_estimated_runway,arrival_actual_runway,airline_name,airline_iata,airline_icao,flight_number,flight_iata,flight_icao,flight_codeshared,flight_codeshared_airline_name,flight_codeshared_airline_iata,flight_codeshared_airline_icao,flight_codeshared_flight_number,flight_codeshared_flight_iata,flight_codeshared_flight_icao
2025-07-06,scheduled,,,Tontouta,Pacific/Noumea,NOU,NWWW,,,,2025-07-06T00:55:00+00:00,2025-07-06T00:55:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,,,2025-07-06T07:15:00+00:00,,,,,,Hi Fly,5K,HFY,740,5K740,HFY740,,,,,,,
2025-07-06,scheduled,,,Tontouta,Pacific/Noumea,NOU,NWWW,,,,2025-07-06T00:55:00+00:00,2025-07-06T00:55:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,,,2025-07-06T07:15:00+00:00,,,,,,Air France,AF,AFR,4022,AF4022,AFR4022,,hi fly,5k,hfy,740,5k740,hfy740
2025-07-06,scheduled,,,Auckland International,Pacific/Auckland,AKL,NZAA,I,,,2025-07-06T00:25:00+00:00,2025-07-06T00:25:00+00:00,,,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2025-07-06T07:55:00+00:00,,,,,,Malaysia Airlines,MH,MAS,132,MH132,MAS132,,,,,,,
2025-07-06,scheduled,,,Auckland International,Pacific/Auckland,AKL,NZAA,I,,,2025-07-06T00:25:00+00:00,2025-07-06T00:25:00+00:00,,,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2025-07-06T07:55:00+00:00,,,,,,Oman Air,WY,OMA,5585,WY5585,OMA5585,,malaysia airlines,mh,mas,132,mh132,mas132
2025-07-06,scheduled,,,Auckland International,Pacific/Auckland,AKL,NZAA,I,,,2025-07-06T00:25:00+00:00,2025-07-06T00:25:00+00:00,,,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2025-07-06T07:55:00+00:00,,,,,,SriLankan Airlines,UL,ALK,2120,UL2120,ALK2120,,malaysia airlines,mh,mas,132,mh132,mas132
2025-07-06,scheduled,,,Auckland International,Pacific/Auckland,AKL,NZAA,I,,,2025-07-06T00:25:00+00:00,2025-07-06T00:25:00+00:00,,,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2025-07-06T07:55:00+00:00,,,,,,Turkish Airlines,TK,THY,4802,TK4802,THY4802,,malaysia airlines,mh,mas,132,mh132,mas132
2025-07-06,scheduled,,,Auckland International,Pacific/Auckland,AKL,NZAA,I,,,2025-07-06T00:25:00+00:00,2025-07-06T00:25:00+00:00,,,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2025-07-06T07:55:00+00:00,,,,,,Qatar Airways,QR,QTR,4970,QR4970,QTR4970,,malaysia airlines,mh,mas,132,mh132,mas132
2025-07-06,scheduled,,,Auckland International,Pacific/Auckland,AKL,NZAA,I,,,2025-07-06T00:25:00+00:00,2025-07-06T00:25:00+00:00,,,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2025-07-06T07:55:00+00:00,,,,,,KLM,KL,KLM,4096,KL4096,KLM4096,,malaysia airlines,mh,mas,132,mh132,mas132
2025-07-06,scheduled,,,Auckland International,Pacific/Auckland,AKL,NZAA,I,,,2025-07-06T00:25:00+00:00,2025-07-06T00:25:00+00:00,,,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2025-07-06T07:55:00+00:00,,,,,,Firefly,FY,FFM,7170,FY7170,FFM7170,,malaysia airlines,mh,mas,132,mh132,mas132
2025-07-06,scheduled,,,Auckland International,Pacific/Auckland,AKL,NZAA,I,,,2025-07-06T00:25:00+00:00,2025-07-06T00:25:00+00:00,,,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2025-07-06T07:55:00+00:00,,,,,,Ethiopian Airlines,ET,ETH,4278,ET4278,ETH4278,,malaysia airlines,mh,mas,132,mh132,mas132
2025-07-06,scheduled,,,Auckland International,Pacific/Auckland,AKL,NZAA,I,,,2025-07-06T00:25:00+00:00,2025-07-06T00:25:00+00:00,,,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2025-07-06T07:55:00+00:00,,,,,,Myanmar Airways International,8M,MMA,9588,8M9588,MMA9588,,malaysia airlines,mh,mas,132,mh132,mas132
2025-07-05,scheduled,,,Pokhara,Asia/Kathmandu,PKR,VNPK,,,,2025-07-05T16:25:00+00:00,2025-07-05T16:25:00+00:00,,,,Tribhuvan International,Asia/Kathmandu,KTM,VNKT,D,,,2025-07-05T16:50:00+00:00,,,,,,Sharp Airlines,SH,SHA,662,SH662,SHA662,,,,,,,
2025-07-05,scheduled,,,Bhairawa,Asia/Kathmandu,BWA,VNBW,,,,2025-07-05T16:20:00+00:00,2025-07-05T16:20:00+00:00,,,,Tribhuvan International,Asia/Kathmandu,KTM,VNKT,D,,,2025-07-05T16:50:00+00:00,,,,,,Yeti Airlines,YT,NYT,878,YT878,NYT878,,,,,,,
2025-07-05,scheduled,,,Dublin International,Europe/Dublin,DUB,EIDW,,,630.0,2025-07-05T08:00:00+00:00,2025-07-05T08:00:00+00:00,,,,Dyce,Europe/London,ABZ,EGPD,,,,2025-07-05T09:20:00+00:00,,,,,,Aer Lingus,EI,EIN,3242,EI3242,EIN3242,,,,,,,
