gate,terminal,baggage,scheduled
unknown,3,unknown,2025-07-06 07:15:00+00:00
unknown,3,unknown,2025-07-06 07:15:00+00:00
unknown,1,unknown,2025-07-06 07:55:00+00:00
unknown,1,unknown,2025-07-06 07:55:00+00:00
unknown,1,unknown,2025-07-06 07:55:00+00:00
unknown,1,unknown,2025-07-06 07:55:00+00:00
unknown,1,unknown,2025-07-06 07:55:00+00:00
unknown,1,unknown,2025-07-06 07:55:00+00:00
unknown,1,unknown,2025-07-06 07:55:00+00:00
unknown,1,unknown,2025-07-06 07:55:00+00:00
unknown,1,unknown,2025-07-06 07:55:00+00:00
unknown,D,unknown,2025-07-05 16:50:00+00:00
unknown,D,unknown,2025-07-05 16:50:00+00:00
unknown,unknown,unknown,2025-07-05 09:20:00+00:00
unknown,unknown,unknown,2025-07-05 09:20:00+00:00
unknown,unknown,unknown,2025-07-05 09:20:00+00:00
16,3,QFR,2025-07-05 11:30:00+00:00
unknown,unknown,unknown,2025-07-05 18:40:00+00:00
unknown,unknown,unknown,2025-07-05 18:40:00+00:00
B55,4,unknown,2025-07-05 15:25:00+00:00
B55,4,unknown,2025-07-05 15:25:00+00:00
B55,4,unknown,2025-07-05 15:25:00+00:00
B55,4,unknown,2025-07-05 15:25:00+00:00
B55,4,unknown,2025-07-05 15:25:00+00:00
B55,4,unknown,2025-07-05 15:25:00+00:00
B55,4,unknown,2025-07-05 15:25:00+00:00
24,B,unknown,2025-07-05 08:25:00+00:00
unknown,unknown,unknown,2025-07-05 13:21:00+00:00
unknown,unknown,7,2025-07-05 10:14:00+00:00
unknown,unknown,7,2025-07-05 10:14:00+00:00
G18,1,6,2025-07-05 11:43:00+00:00
G18,1,6,2025-07-05 11:43:00+00:00
G18,1,6,2025-07-05 11:43:00+00:00
G18,1,6,2025-07-05 11:43:00+00:00
unknown,unknown,unknown,2025-07-05 11:42:00+00:00
B2,unknown,unknown,2025-07-05 12:15:00+00:00
E87,M,33,2025-07-05 07:32:00+00:00
E87,M,33,2025-07-05 07:32:00+00:00
E87,M,33,2025-07-05 07:32:00+00:00
23B,2,unknown,2025-07-05 08:44:00+00:00
23B,2,unknown,2025-07-05 08:44:00+00:00
23B,2,unknown,2025-07-05 08:44:00+00:00
unknown,2,unknown,2025-07-05 22:45:00+00:00
unknown,T2,unknown,2025-07-06 01:05:00+00:00
unknown,2,17,2025-07-06 00:30:00+00:00
unknown,2,17,2025-07-06 00:30:00+00:00
unknown,5,unknown,2025-07-05 09:15:00+00:00
unknown,5,unknown,2025-07-05 09:15:00+00:00
unknown,3,unknown,2025-07-05 19:30:00+00:00
unknown,3,unknown,2025-07-05 19:30:00+00:00
unknown,3,unknown,2025-07-05 19:30:00+00:00
unknown,unknown,unknown,2025-07-05 16:05:00+00:00
unknown,T2,unknown,2025-07-05 21:35:00+00:00
unknown,T2,unknown,2025-07-05 21:10:00+00:00
unknown,T2,unknown,2025-07-05 20:50:00+00:00
unknown,T2,unknown,2025-07-05 20:50:00+00:00
unknown,T2,unknown,2025-07-05 20:50:00+00:00
unknown,T2,unknown,2025-07-05 20:50:00+00:00
unknown,T2,unknown,2025-07-05 20:40:00+00:00
unknown,T2,unknown,2025-07-05 20:40:00+00:00
unknown,T2,unknown,2025-07-05 20:40:00+00:00
unknown,T2,unknown,2025-07-05 20:40:00+00:00
unknown,T2,unknown,2025-07-05 20:40:00+00:00
unknown,T2,unknown,2025-07-05 20:40:00+00:00
unknown,T2,unknown,2025-07-05 20:35:00+00:00
unknown,T2,unknown,2025-07-05 20:35:00+00:00
unknown,T2,unknown,2025-07-05 20:35:00+00:00
unknown,T2,unknown,2025-07-05 20:30:00+00:00
unknown,T2,unknown,2025-07-05 20:30:00+00:00
unknown,T2,unknown,2025-07-05 19:50:00+00:00
unknown,T2,unknown,2025-07-05 19:50:00+00:00
unknown,T2,unknown,2025-07-05 19:50:00+00:00
unknown,T2,unknown,2025-07-05 19:50:00+00:00
unknown,T2,unknown,2025-07-05 19:50:00+00:00
unknown,T2,unknown,2025-07-05 19:50:00+00:00
unknown,T2,unknown,2025-07-05 19:25:00+00:00
unknown,T2,unknown,2025-07-05 19:20:00+00:00
unknown,T2,unknown,2025-07-05 18:55:00+00:00
unknown,I,4,2025-07-05 19:25:00+00:00
unknown,I,4,2025-07-05 19:25:00+00:00
unknown,3,36,2025-07-05 23:00:00+00:00
unknown,3,36,2025-07-05 23:00:00+00:00
unknown,3,36,2025-07-05 23:00:00+00:00
unknown,1,13,2025-07-05 22:05:00+00:00
unknown,1,13,2025-07-05 22:05:00+00:00
unknown,unknown,unknown,2025-07-05 17:20:00+00:00
unknown,4,29,2025-07-05 21:35:00+00:00
unknown,3,unknown,2025-07-05 17:10:00+00:00
unknown,3,unknown,2025-07-05 17:10:00+00:00
unknown,3,unknown,2025-07-05 17:10:00+00:00
unknown,3,unknown,2025-07-05 17:10:00+00:00
unknown,I,2,2025-07-05 17:10:00+00:00
unknown,I,2,2025-07-05 17:10:00+00:00
unknown,I,2,2025-07-05 17:10:00+00:00
unknown,2,unknown,2025-07-05 17:10:00+00:00
unknown,I,2,2025-07-05 18:50:00+00:00
unknown,I,2,2025-07-05 18:50:00+00:00
unknown,I,2,2025-07-05 18:50:00+00:00
unknown,I,2,2025-07-05 18:50:00+00:00
unknown,1,unknown,2025-07-05 20:35:00+00:00
