gate,terminal,delay,scheduled,estimated,actual,estimated_runway,actual_runway
unknown,unknown,0.0,2025-07-06 00:55:00+00:00,2025-07-06 00:55:00+00:00,null,null,null
unknown,unknown,0.0,2025-07-06 00:55:00+00:00,2025-07-06 00:55:00+00:00,null,null,null
unknown,I,0.0,2025-07-06 00:25:00+00:00,2025-07-06 00:25:00+00:00,null,null,null
unknown,I,0.0,2025-07-06 00:25:00+00:00,2025-07-06 00:25:00+00:00,null,null,null
unknown,I,0.0,2025-07-06 00:25:00+00:00,2025-07-06 00:25:00+00:00,null,null,null
unknown,I,0.0,2025-07-06 00:25:00+00:00,2025-07-06 00:25:00+00:00,null,null,null
unknown,I,0.0,2025-07-06 00:25:00+00:00,2025-07-06 00:25:00+00:00,null,null,null
unknown,I,0.0,2025-07-06 00:25:00+00:00,2025-07-06 00:25:00+00:00,null,null,null
unknown,I,0.0,2025-07-06 00:25:00+00:00,2025-07-06 00:25:00+00:00,null,null,null
unknown,I,0.0,2025-07-06 00:25:00+00:00,2025-07-06 00:25:00+00:00,null,null,null
unknown,I,0.0,2025-07-06 00:25:00+00:00,2025-07-06 00:25:00+00:00,null,null,null
unknown,unknown,0.0,2025-07-05 16:25:00+00:00,2025-07-05 16:25:00+00:00,null,null,null
unknown,unknown,0.0,2025-07-05 16:20:00+00:00,2025-07-05 16:20:00+00:00,null,null,null
unknown,unknown,630.0,2025-07-05 08:00:00+00:00,2025-07-05 08:00:00+00:00,null,null,null
unknown,unknown,630.0,2025-07-05 08:00:00+00:00,2025-07-05 08:00:00+00:00,null,null,null
unknown,unknown,630.0,2025-07-05 08:00:00+00:00,2025-07-05 08:00:00+00:00,null,null,null
unknown,unknown,12.0,2025-07-05 10:10:00+00:00,2025-07-05 10:10:00+00:00,2025-07-05 10:21:00+00:00,2025-07-05 10:21:00+00:00,2025-07-05 10:21:00+00:00
"J,K",3,110.0,2025-07-05 14:30:00+00:00,2025-07-05 14:30:00+00:00,2025-07-05 14:30:00+00:00,2025-07-05 14:30:00+00:00,2025-07-05 14:30:00+00:00
